objective,tau,comb_timeouts,comb_gap_mean,comb_gap_std,lns_timeouts,lns_gap_mean,lns_gap_std
1,0.016666667,30,,,0,,
1,0.05,20,0.0001124,6.482489233825743e-05,0,0.31413013702606424,0.0416160707406909
1,0.1,10,0.00023604999999999996,0.00010398455097804319,0,0.27965466310259623,0.04789769664034124
1,0.25,0,0.0009033333333333334,0.0003748071994794246,0,0.25963895556802047,0.04894867526382874
2,0.016666667,30,,,0,,
2,0.05,20,1.8688696999999999,0.3633300650406673,0,1.8688696999999999,0.3633300650406673
2,0.1,10,1.5033834000000001,0.3261008267279825,0,1.5033834000000001,0.3261008267279826
2,0.25,0,1.0593215000000002,0.5334994204261306,0,1.2232024842151457,0.3227733523615845
7,0.016666667,30,,,0,,
7,0.05,20,0.11414659999999999,0.039016894076512265,0,0.6123913152676586,0.060228126943373005
7,0.1,30,,,29,,
7,0.25,0,0.04843653333333333,0.03535634110783148,0,0.48505237781224203,0.08240967453699556
